short,name,material,region,mat_flag,wavelength_um,tau_fs,F0_jcm2,I_lidt_wcm2,gamma_lidt_zns_reference,n0,n2_m2_W,Eg_eV,mred_over_me,transmission_factor,dataset,point_index,I_wcm2,gamma_zns_reference,Wtotal_peak_cm3_fs
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.752210068835855,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,44,364015090662616.4,0.25549290379845546,6.001350167096737e+22
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.752210068835855,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,45,445549038259562.0,0.23093554371329394,7.881856427083907e+22
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.752210068835855,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,46,545345373271936.4,0.20873857769538914,1.0240706414206706e+23
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.752210068835855,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,47,667494597925378.0,0.1886751303748569,1.2781380952145419e+23
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.752210068835855,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,48,817003425895741.2,0.17054013309373764,1.7087723861405798e+23
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.752210068835855,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,total_comparison,49,1000000000000000.0,0.1541482278975837,2.2521308794605036e+23
ZnS_NIR,"ZnS, 0.8 $\mu$m",ZnS,NIR,2,0.8,100.0,0.17,1597043373789.4075,3.857271254545739,2.31318550949987,6.8e-19,3.6,0.34,0.61749,total_comparison,0,49999999999.99999,21.799851450854156,8603355224800.268
ZnS_NIR,"ZnS, 0.8 $\mu$m",ZnS,NIR,2,0.8,100.0,0.17,1597043373789.4075,3.857271254545739,2.31318550949987,6.8e-19,3.6,0.34,0.61749,total_comparison,1,61199253779.35998,19.70450244537269,15775156801480.033
ZnS_NIR,"ZnS, 0.8 $\mu$m",ZnS,NIR,2,0.8,100.0,0.17,1597043373789.4075,3.857271254545739,2.31318550949987,6.8e-19,3.6,0.34,0.61749,total_comparison,2,74906973263.01015,17.81055331936609,28925082233230.29
ZnS_NIR,"ZnS, 0.8 $\mu$m",ZnS,NIR,2,0.8,100.0,0.17,1597043373789.4075,3.857271254545739,2.31318550949987,6.8e-19,3.6,0.34,0.61749,total_comparison,3,91685017331.33382,16.098646003440496,53035882308437.15
ZnS_NIR,"ZnS, 0.8 $\mu$m",ZnS,NIR,2,0.8,100.0,0.17,1597043373789.4075,3.857271254545739,2.31318550949987,6.8e-19,3.6,0.34,0.61749,total_comparison,4,112221092868.50633,14.551283079020862,97244084526233.16
ZnS_NIR,"ZnS, 0.8 $\mu$m",ZnS,NIR,2,0.8,100.0,0.17,1597043373789.4075,3.857271254545739,2.31318550949987,6.8e-19,3.6,0.34,0.61749,total_comparison,5,137356942837.13632,13.152648937093696,178298751422138.44
ZnS_NIR,"ZnS, 0.8 $\mu$m",ZnS,NIR,2,0.8,100.0,0.17,1597043373789.4075,3.857271254545739,2.31318550949987,6.8e-19,3.6,0.34,0.61749,total_comparison,6,168122848060.939,11.888448126738798,326912154615562.94
ZnS_NIR,"ZnS, 0.8 $\mu$m",ZnS,NIR,2,0.8,100.0,0.17,1597043373789.4075,3.857271254545739,2.31318550949987,6.8e-19,3.6,0.34,0.61749,total_comparison,7,205779856891.80368,10.74575924120953,599404861558061.6
ZnS_NIR,"ZnS, 0.8 $\mu$m",ZnS,NIR,2,0.8,100.0,0.17,1597043373789.4075,3.857271254545739,2.31318550949987,6.8e-19,3.6,0.34,0.61749,total_comparison,8,251871473692.03748,9.712902848129406,1099102665367353.6
ZnS_NIR,"ZnS, 0.8 $\mu$m",ZnS,NIR,2,0.8,100.0,0.17,1597043373789.4075,3.857271254545739,2.31318550949987,6.8e-19,3.6,0.34,0.61749,total_comparison,9,308286924765.2079,8.779322113919006,2015759146193191.0
ZnS_NIR,"ZnS, 0.8 $\mu$m",ZnS,NIR,2,0.8,100.0,0.17,1597043373789.4075,3.857271254545739,2.31318550949987,6.8e-19,3.6,0.34,0.61749,total_comparison,10,377338594911.2883,7.935474902314228,3698671961349150.0
