short,density_index,intensity_index,log10_I_grid_wcm2,log10_ne_grid_cm3,log10_Wtotal_grid_cm3_fs
ZnSe_NIR,1,43,14.387755102040817,10.151898734177216,22.432373667548262
ZnSe_NIR,1,44,14.489795918367347,10.151898734177216,22.578748241610146
ZnSe_NIR,1,45,14.591836734693878,10.151898734177216,22.73587942826645
ZnSe_NIR,1,46,14.693877551020408,10.151898734177216,22.901870129059404
ZnSe_NIR,1,47,14.795918367346939,10.151898734177216,23.071521770020645
ZnSe_NIR,1,48,14.89795918367347,10.151898734177216,23.17862398910172
ZnSe_NIR,1,49,15.0,10.151898734177216,23.30286950684805
ZnSe_NIR,2,0,10.0,10.30379746835443,14.715707091893954
ZnSe_NIR,2,1,10.10204081632653,10.30379746835443,14.91980838616473
ZnSe_NIR,2,2,10.204081632653061,10.30379746835443,15.12391461706886
ZnSe_NIR,2,3,10.306122448979592,10.30379746835443,15.3280269293261
ZnSe_NIR,2,4,10.408163265306122,10.30379746835443,15.53214667288501
ZnSe_NIR,2,5,10.510204081632653,10.30379746835443,15.736277352488575
ZnSe_NIR,2,6,10.612244897959183,10.30379746835443,15.940417934298733
ZnSe_NIR,2,7,10.714285714285714,10.30379746835443,16.144571656762302
ZnSe_NIR,2,8,10.816326530612244,10.30379746835443,16.348740501085963
ZnSe_NIR,2,9,10.918367346938776,10.30379746835443,16.552926056924207
ZnSe_NIR,2,10,11.020408163265307,10.30379746835443,16.757128850819985
ZnSe_NIR,2,11,11.122448979591837,10.30379746835443,16.961347136187783
ZnSe_NIR,2,12,11.224489795918368,10.30379746835443,17.165574763325324
ZnSe_NIR,2,13,11.326530612244898,10.30379746835443,17.369797476808007
ZnSe_NIR,2,14,11.428571428571429,10.30379746835443,17.573986508865495
ZnSe_NIR,2,15,11.53061224489796,10.30379746835443,17.778087468246685
ZnSe_NIR,2,16,11.63265306122449,10.30379746835443,17.98200088660469
ZnSe_NIR,2,17,11.73469387755102,10.30379746835443,18.185547543730916
ZnSe_NIR,2,18,11.83673469387755,10.30379746835443,18.388404854569803
ZnSe_NIR,2,19,11.938775510204081,10.30379746835443,18.590055462423244
