I_wm2,Wav_cm3_fs,Wpi_cm3_fs,diagnostic_only,ne_total_cm3,time_s
6.17285483653987e+16,22955572.276481695,49361366483815.94,True,320889658894565.6,-4.171301446051166e-14
6.268113825514249e+16,28583510.65157986,53928870853653.21,True,355339951256314.1,-4.1045606229143477e-14
6.363270915508477e+16,35484867.6782404,58829271425996.766,True,392948902182152.3,-4.0378197997775296e-14
6.458277200836638e+16,43921169.24884521,64077266742196.81,True,433943609682508.25,-3.9710789766407114e-14
6.553083152115457e+16,54201423.20705328,69687241052113.67,True,478560883348553.56,-3.904338153503893e-14
6.647638656243457e+16,66689384.182061955,75673149495604.36,True,527046996589128.4,-3.837597330367075e-14
6.741893057698038e+16,81811656.20213419,82048397206178.83,True,579657359591947.1,-3.770856507230252e-14
6.835795201108096e+16,100066678.47441927,88825713002654.0,True,636656111433372.0,-3.704115684093434e-14
6.929293475057182e+16,122034630.68163504,96017018448769.22,True,698315624814692.6,-3.637374860956616e-14
7.022335857069172e+16,148388285.26757067,103633293173256.6,True,764915922675681.4,-3.5706340378197976e-14
7.114869959725842e+16,179904820.9382167,111684437451989.89,True,836744003830246.5,-3.5038932146829795e-14
7.206843077863069e+16,217478596.5028688,120179133157544.06,True,914093076366825.8,-3.4371523915461614e-14
7.298202236789698e+16,262134865.91680962,129124704277716.28,True,997261697976763.1,-3.370411568409343e-14
7.388894241470654e+16,315044394.44721746,138526978291368.44,True,1086552823431304.5,-3.303670745272525e-14
7.478865726613422e+16,377538912.01015174,148390149765189.94,True,1182272760251926.2,-3.236929922135707e-14
7.568063207594691e+16,451127313.05190384,158716647596655.16,True,1284730034435502.2,-3.170189098998884e-14
7.656433132161594e+16,537512483.2840811,169507007374901.38,True,1394234169229736.2,-3.1034482758620657e-14
7.74392193284007e+16,638608602.19036,180759750360511.5,True,1511094380891023.0,-3.0367074527252475e-14
7.83047607998048e+16,756558736.9506981,192471270595830.9,True,1635618196266215.0,-2.9699666295884294e-14
7.916042135369006e+16,893752509.0428728,204635731648355.5,True,1768109998188538.5,-2.903225806451611e-14
8.000566806331354e+16,1052843579.6477792,217244974459642.7,True,1908869505623189.8,-2.836484983314793e-14
8.083997000253659e+16,1236766664.9086123,230288437720709.88,True,2058190196388421.2,-2.769744160177975e-14
8.166279879443949e+16,1448753758.1766722,243753092121589.12,True,2216357681315248.5,-2.703003337041157e-14
8.247362916256069e+16,1692349204.2662058,257623389727689.28,True,2383648039532419.0,-2.6362625139043388e-14
8.327193948396726e+16,1971423241.5538402,271881229619614.2,True,2560326125318683.0,-2.5695216907675156e-14
8.405721234335102e+16,2290183602.749331,286505940796565.94,True,2746643857752458.5,-2.5027808676306975e-14
8.482893508733669e+16,2653184745.1482964,301474283188669.56,True,2942838504960010.0,-2.4360400444938793e-14
8.558660037817746e+16,3065334267.422148,316760467451094.56,True,3149130975271071.5,-2.3692992213570612e-14
8.632970674600891e+16,3531896063.5806046,332336194026308.94,True,3365724128010786.0,-2.302558398220243e-14
8.705775913882582e+16,4058489766.4160633,348170711761605.44,True,3592801116861701.0,-2.235817575083425e-14
8.777026946934306e+16,4651086043.703199,364230896160906.4,True,3830523778905367.5,-2.1690767519466068e-14
8.846675715789957e+16,5315997331.118619,380481347135645.8,True,4079031082425035.5,-2.1023359288097887e-14
8.914674967056477e+16,6059863616.700775,396884505902783.1,True,4338437646318790.0,-2.0355951056729706e-14
8.980978305160714e+16,6889632933.59562,413400790462462.0,True,4608832343776400.0,-1.9688542825361474e-14
9.045540244948822e+16,7812575358.21275,430026613906233.56,True,4890289235996543.0,-1.9021134593993293e-14
9.108316263555069e+16,8836191808.053602,446645405796820.94,True,5182844844946491.0,-1.835372636262511e-14
9.169262851457371e+16,9968134658.555344,463248104123553.94,True,5486487933218033.0,-1.768631813125693e-14
9.228337562637877e+16,11216285001.874964,479788721652832.94,True,5801195127485630.0,-1.701890989988875e-14
9.285499063767784e+16,12588635274.45385,496220169271669.44,True,6126908461830690.0,-1.6351501668520568e-14
9.34070718233676e+16,14093251568.637672,512494480032797.4,True,6463539613602193.0,-1.5684093437152386e-14
9.393922953648589e+16,15738206257.145306,528563042620688.0,True,6810967547484096.0,-1.5016685205784205e-14
9.445108666606238e+16,17531513763.136562,544376842401629.44,True,7169038631620187.0,-1.4349276974416024e-14
9.494227908211064e+16,19481060145.831444,559886708160473.94,True,7537566537060245.0,-1.3681868743047792e-14
9.541245606702722e+16,21594527496.964455,575043562592874.9,True,7916332131214402.0,-1.301446051167961e-14
9.586128073268323e+16,23879314995.45623,589798674614934.5,True,8305083635743907.0,-1.234705228031143e-14
9.628843042251373e+16,26342456880.978764,604103911571358.9,True,8703536938549013.0,-1.1679644048943248e-14
9.6693597097934e+16,28990538269.78592,617911989466697.6,True,9111376077723960.0,-1.1012235817575067e-14
9.707648770843498e+16,31829609700.541325,631176719410835.8,True,9528253889787434.0,-1.0344827586206886e-14
9.743682454473536e+16,34865101403.849396,643853248556308.2,True,9953792820249986.0,-9.677419354838704e-15
9.777434557439504e+16,38101738358.73797,655898293908785.6,True,1.038758589461612e+16,-9.010011123470523e-15
9.808880475932216e+16,41543457201.49421,667270367509745.8,True,1.0829197840679612e+16,-8.342602892102291e-15
9.837997235463493e+16,45193326111.9211,677929991618336.8,True,1.127816635732394e+16,-7.67519466073411e-15
9.864763518837077e+16,49053468833.77984,687839902654237.9,True,1.1734003526297402e+16,-7.007786429365929e-15
9.889159692156533e+16,53124993904.694496,696965242801050.9,True,1.2196197353035474e+16,-6.340378197997747e-15
9.911167828825776e+16,57407930192.62588,705273738307057.1,True,1.2664213429038912e+16,-5.672969966629566e-15
9.930771731501131e+16,61901169863.49141,712735863654040.0,True,1.3137496715038096e+16,-5.005561735261385e-15
9.947956951957298e+16,66602419719.40841,719324990891604.0,True,1.3615473428648954e+16,-4.3381535038932036e-15
9.962710808833117e+16,71508161695.04774,725017523553332.1,True,1.4097553014512632e+16,-3.670745272525022e-15
9.975022403226634e+16,76613623561.12602,729793014677864.2,True,1.4583130211890626e+16,-3.003337041156841e-15
9.984882632112587e+16,81912760356.27954,733634268554776.5,True,1.5071587189313548e+16,-2.3359288097886092e-15
9.992284199559226e+16,87398247199.97162,736527425897786.0,True,1.556229574352828e+16,-1.668520578420428e-15
9.997221625725093e+16,93061483900.70766,738462032220027.1,True,1.6054619548996472e+16,-1.0011123470522467e-15
9.999691253620248e+16,98892611661.79442,739431089246097.4,True,1.6547916447583426e+16,-3.337041156840654e-16
9.999691253620248e+16,104880542021.065,739431089246097.4,True,1.704154076682422e+16,3.337041156841159e-16
9.997221625725093e+16,111012998005.20047,738462032220027.1,True,1.7534845655438474e+16,1.0011123470522972e-15
9.992284199559226e+16,117276567315.41612,736527425897786.0,True,1.8027185424587788e+16,1.6685205784204784e-15
9.984882632112587e+16,123656767199.90094,733634268554776.5,True,1.851791788345593e+16,2.3359288097886597e-15
9.975022403226634e+16,130138120507.24908,729793014677864.2,True,1.900640665766591e+16,3.003337041156841e-15
9.962710808833115e+16,136704242260.49365,725017523553331.2,True,1.9492023479135948e+16,3.670745272525073e-15
9.947956951957296e+16,143337935943.65414,719324990891604.0,True,1.9974150436039476e+16,4.338153503893254e-15
9.93077173150113e+16,150021298553.62756,712735863654040.0,True,2.0452182171534708e+16,5.005561735261435e-15
9.911167828825776e+16,156735833346.90643,705273738307057.1,True,2.092552802020744e+16,5.6729699666296166e-15
9.889159692156531e+16,163462569098.7599,696965242801050.9,True,2.1393614071263264e+16,6.340378197997798e-15
